epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.593,2.16231,4.73963,2.09942,0.33563,0.19155,0.17721,0.0535,2.42002,3.05348,2.35143,0.0033298,0.0033298,0.0033298
2,345.23,2.11114,2.87206,2.01383,0.09204,0.1,0.03635,0.00984,2.69747,4.24926,2.69427,0.00664114,0.00664114,0.00664114
3,505.267,2.2024,3.07401,2.14499,0.01927,0.025,0.00996,0.00307,3.00311,4.97206,2.70763,0.00993049,0.00993049,0.00993049
4,664.949,2.20252,3.01473,2.13697,0.0071,0.04028,0.00504,0.00185,3.16262,6.68996,2.98048,0.009901,0.009901,0.009901
5,825.056,2.1155,2.86284,2.06445,0.01052,0.51528,0.02565,0.00886,2.5833,3.95316,2.55656,0.009868,0.009868,0.009868
6,985.562,2.09151,2.82452,2.03985,0.37804,0.28788,0.27762,0.10495,2.15379,2.58936,2.04921,0.009835,0.009835,0.009835
7,1145.94,2.08031,2.69626,2.0201,0.49937,0.18611,0.24635,0.09429,2.20499,2.69575,2.08772,0.009802,0.009802,0.009802
8,1305.78,2.04664,2.65328,1.96633,0.39954,0.27917,0.24445,0.09083,2.19736,2.98152,2.18327,0.009769,0.009769,0.009769
9,1465.47,2.0147,2.62452,1.92666,0.47232,0.11944,0.20364,0.07404,2.17082,3.10102,2.15831,0.009736,0.009736,0.009736
10,1626.02,2.00053,2.58338,1.93787,0.4315,0.29306,0.30156,0.1124,2.11967,2.53828,2.10574,0.009703,0.009703,0.009703
11,1786.58,1.98419,2.56204,1.89821,0.37324,0.34444,0.28919,0.10657,2.19487,3.00141,2.05008,0.00967,0.00967,0.00967
12,1946.26,1.98516,2.55319,1.91074,0.50806,0.11944,0.19517,0.07362,2.33874,3.44688,2.18563,0.009637,0.009637,0.009637
